Order APIs	GET		ORDER MANAGEMENT	Get Orders (Manufacturer)
Order APIs	GET		ORDER MANAGEMENT	Get Order By Id
Order APIs	GET		ORDER MANAGEMENT	Get Order By Id (Retailer)
Order APIs	GET		ORDER MANAGEMENT	Get Order By Id (Manufacturer)
Order APIs	GET		ORDER MANAGEMENT	Get Invoice For Order
Order APIs	GET		ORDER MANAGEMENT	Get Invoice For Order (Retailer)
Order APIs	GET		ORDER MANAGEMENT	Get Invoice For Order (Manufacturer)
Order APIs	POST		ORDER MANAGEMENT	Accept Order (Manufacturer)
Order APIs	POST		ORDER MANAGEMENT	Reject Order (Manufacturer)
Order APIs	GET		ORDER MANAGEMENT	Get Order Events
Order APIs	GET		ORDER MANAGEMENT	Get Order Events (Retailer)
Order APIs	GET		ORDER MANAGEMENT	Get Order Events (Manufacturer)
Order APIs	PUT		ORDER MANAGEMENT	Update Order Status
Order APIs	POST		ORDER MANAGEMENT	Create Shipment
Order APIs	POST		ORDER MANAGEMENT	Mark Delivered
Order APIs	POST		ORDER MANAGEMENT	Cancel Order
Order APIs	POST		ORDER MANAGEMENT	Approve Refund
Order APIs	POST		ORDER MANAGEMENT	Reject Refund
Order APIs	GET		ORDER MANAGEMENT	Get Refund For Order
Order APIs	GET		ORDER MANAGEMENT	Get Refund For Order (Retailer)
Order APIs	GET		ORDER MANAGEMENT	Get Refund For Order (Manufacturer)
Payment APIs	GET		PAYMENT MANAGEMENT	Get Razorpay Key
Payment APIs	GET		PAYMENT MANAGEMENT	Get Razorpay Key (Retailer)
Payment APIs	GET		PAYMENT MANAGEMENT	Get Razorpay Key (Manufacturer)
Payment APIs	POST		PAYMENT MANAGEMENT	Initiate Payment
Payment APIs	POST		PAYMENT MANAGEMENT	Create Razorpay Order
Payment APIs	POST		PAYMENT MANAGEMENT	Verify Razorpay Payment
Payment APIs	GET		PAYMENT MANAGEMENT	Get Payment For Order
Payment APIs	GET		PAYMENT MANAGEMENT	Get Payment For Order (Retailer)
Payment APIs	GET		PAYMENT MANAGEMENT	Get Payment For Order (Manufacturer)
Admin APIs	GET		REVIEW MANAGEMENT	List Reviews
Admin APIs	GET		REVIEW MANAGEMENT	List Reviews (Retailer)
Admin APIs	GET		REVIEW MANAGEMENT	List Reviews (Manufacturer)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/me)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/me) (Retailer)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/me) (Manufacturer)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/my)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/my) (Retailer)
Admin APIs	GET		REVIEW MANAGEMENT	Get My Review (/my) (Manufacturer)
Admin APIs	PUT		REVIEW MANAGEMENT	Upsert My Review
Admin APIs	PUT		REVIEW MANAGEMENT	Upsert My Review (Retailer)
Admin APIs	PUT		REVIEW MANAGEMENT	Upsert My Review (Manufacturer)
Admin APIs	POST		REVIEW MANAGEMENT	Create/Update Review (POST alias)
Admin APIs	POST		REVIEW MANAGEMENT	Create/Update Review (POST alias) (Retailer)
Admin APIs	POST		REVIEW MANAGEMENT	Create/Update Review (POST alias) (Manufacturer)
Admin APIs	DELETE		REVIEW MANAGEMENT	Delete My Review
Admin APIs	DELETE		REVIEW MANAGEMENT	Delete My Review (Retailer)
Admin APIs	DELETE		REVIEW MANAGEMENT	Delete My Review (Manufacturer)
Admin APIs	GET		INVOICE MANAGEMENT	Get Retailer Invoices
Admin APIs	POST		WEBHOOK	Razorpay Webhook
Shipment APIs	POST	{{baseUrl}}/shipments	SHIPMENT MANAGEMENT	Create Shipment (Manufacturer)
Shipment APIs	GET	{{baseUrl}}/shipments/{{orderId}}	SHIPMENT MANAGEMENT	Get Shipment by Order (Retailer)
Shipment APIs	GET	{{baseUrl}}/shipments/{{orderId}}	SHIPMENT MANAGEMENT	Get Shipment by Order (Manufacturer)
Shipment APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	SHIPMENT MANAGEMENT	Update Shipment Status - IN_TRANSIT
Shipment APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	SHIPMENT MANAGEMENT	Update Shipment Status - OUT_FOR_DELIVERY
Shipment APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	SHIPMENT MANAGEMENT	Update Shipment Status - DELIVERED
Return APIs	POST	{{baseUrl}}/returns	RETURN MANAGEMENT	Request Return (Retailer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/approve	RETURN MANAGEMENT	Approve Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/reject	RETURN MANAGEMENT	Reject Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/receive	RETURN MANAGEMENT	Receive Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/inspect	RETURN MANAGEMENT	Inspect Return (Manufacturer)
Return APIs	PATCH	{{baseUrl}}/returns/{{returnId}}/complete	RETURN MANAGEMENT	Complete Return (Manufacturer)
Return APIs	GET	{{baseUrl}}/returns/{{returnId}}	RETURN MANAGEMENT	Get Return By Id (Retailer)
Admin APIs	GET	{{baseUrl}}/inventory/low-stock?page=0&size=20	INVENTORY MANAGEMENT	Get Low Stock (Catalog Manager)
Admin APIs	POST	{{baseUrl}}/inventory/batches	INVENTORY MANAGEMENT	Create Inventory Batch
Admin APIs	GET	{{baseUrl}}/inventory/batches?productId={{productId}}	INVENTORY MANAGEMENT	List Inventory Batches
Admin APIs	GET	{{baseUrl}}/inventory/batches/{{batchId}}	INVENTORY MANAGEMENT	Get Inventory Batch By Id
Admin APIs	PATCH	{{baseUrl}}/inventory/batches/{{batchId}}	INVENTORY MANAGEMENT	Update Inventory Batch
Cart APIs	POST	{{baseUrl}}/cart/reserve	CART RESERVATION	Reserve Cart Item
Cart APIs	GET	{{baseUrl}}/cart/reservations	CART RESERVATION	Get Active Reservations
Cart APIs	DELETE	{{baseUrl}}/cart/reserve/{{reservationId}}	CART RESERVATION	Cancel Reservation
Admin APIs	PATCH	{{baseUrl}}/variants/{{variantId}}	VARIANT MANAGEMENT	Update Variant
